id,arabic_name,transliteration,meaning,quran_references
1,الرَّحْمَنُ,AR-RAHMAAN,The Beneficent,"Surah 17:110, Surah 55:1"
2,الرَّحِيمُ,AR-RAHEEM,The Merciful,"Surah 2:143, Surah 33:43, Surah 39:53"
3,الْمَلِكُ,AL-MALIK,The King,"Surah 3:26, Surah 20:114, Surah 23:116, Surah 59:23"
4,الْقُدُّوسُ,AL-QUDDUS,The Most Sacred,"Surah 59:23, Surah 62:1"
5,السَّلاَمُ,AS-SALAM,The Giver of Peace,Surah 59:23
6,الْمُؤْمِنُ,AL-MU'MIN,The Bestower of Faith,Surah 59:23
7,الْمُهَيْمِنُ,AL-MUHAYMIN,The Guardian,Surah 59:23
8,الْعَزِيزُ,AL-AZIZ,The Mighty One,"Surah 3:6, Surah 59:23"
9,الْجَبَّارُ,AL-JABBAR,The Compeller,Surah 59:23
10,الْمُتَكَبِّرُ,AL-MUTAKABBIR,The Supreme,Surah 59:23
11,الْخَالِقُ,AL-KHAALIQ,The Creator,"Surah 13:16, Surah 59:24"
12,الْبَارِئُ,AL-BAARI,The Originator,Surah 59:24
13,الْمُصَوِّرُ,AL-MUSAWWIR,The Fashioner,Surah 59:24
14,الْغَفَّارُ,AL-GHAFFAR,The Repeatedly Forgiving,"Surah 20:82, Surah 38:66, Surah 39:5, Surah 40:42"
15,الْقَهَّارُ,AL-QAHHAR,The Subduer,"Surah 13:16, Surah 14:48, Surah 38:65, Surah 39:4, Surah 40:16"
16,الْوَهَّابُ,AL-WAHHAB,The Bestower,"Surah 3:8, Surah 38:9, Surah 38:35"
17,الرَّزَّاقُ,AR-RAZZAQ,The Provider,"Surah 51:58"
18,الْفَتَّاحُ,AL-FATTAH,The Opener,"Surah 34:26"
19,اَلْعَلِيْمُ,AL-ALIM,The All-Knowing,"Surah 2:158, Surah 3:92, Surah 4:176"
20,الْقَابِضُ,AL-QAABID,The Withholder,
21,الْبَاسِطُ,AL-BAASIT,The Extender,
22,الْخَافِضُ,AL-KHAAFIDH,The Reducer,
23,الرَّافِعُ,AR-RAFI,The Exalter,"Surah 58:11"
24,الْمُعِزُّ,AL-MU'IZZ,The Bestower of Honor,
25,المُذِلُّ,AL-MUZIL,The Humiliator,
26,السَّمِيعُ,AS-SAMI,The All-Hearing,"Surah 2:127, Surah 2:137, Surah 2:181, Surah 2:224, Surah 2:256"
27,الْبَصِيرُ,AL-BASIR,The All-Seeing,"Surah 2:96, Surah 2:110, Surah 3:15, Surah 3:20"
28,الْحَكَمُ,AL-HAKAM,The Judge,"Surah 6:114"
29,الْعَدْلُ,AL-ADL,The Just,
30,اللَّطِيفُ,AL-LATIF,The Subtle One,"Surah 6:103, Surah 22:63, Surah 31:16, Surah 33:34"
31,الْخَبِيرُ,AL-KHABIR,The All-Aware,"Surah 6:18, Surah 17:30, Surah 31:16, Surah 31:29, Surah 31:34"
32,الْحَلِيمُ,AL-HALIM,The Forbearing,"Surah 2:225, Surah 2:235, Surah 2:263, Surah 3:155, Surah 5:101"
33,الْعَظِيمُ,AL-AZIM,The Magnificent,"Surah 2:255"
34,الْغَفُورُ,AL-GHAFUR,The Forgiving,"Surah 2:173, Surah 2:182, Surah 2:192, Surah 2:199, Surah 2:218, Surah 2:226"
35,الشَّكُورُ,ASH-SHAKUR,The Appreciative,"Surah 35:30, Surah 35:34, Surah 42:23, Surah 64:17"
36,الْعَلِيُّ,AL-ALI,The Most High,"Surah 2:255, Surah 4:34, Surah 31:30, Surah 34:23, Surah 40:12, Surah 42:4, Surah 42:51"
37,الْكَبِيرُ,AL-KABIR,The Most Great,"Surah 13:9, Surah 22:62, Surah 31:30, Surah 34:23, Surah 40:12"
38,الْحَفِيظُ,AL-HAFIZ,The Preserver,"Surah 11:57, Surah 34:21, Surah 42:6"
39,المُقيِت,AL-MUQIT,The Sustainer,Surah 4:85
40,الْحسِيبُ,AL-HASIB,The Reckoner,"Surah 4:6, Surah 4:86, Surah 33:39"
41,الْجَلِيلُ,AL-JALIL,The Majestic,
42,الْكَرِيمُ,AL-KARIM,The Generous,"Surah 27:40, Surah 82:6"
43,الرَّقِيبُ,AR-RAQIB,The Watchful,"Surah 4:1, Surah 5:117"
44,الْمُجِيبُ,AL-MUJIB,The Responsive,"Surah 11:61"
45,الْوَاسِعُ,AL-WASI,The All-Encompassing,"Surah 2:115, Surah 2:247, Surah 2:261, Surah 2:268, Surah 3:73, Surah 4:130"
46,الْحَكِيمُ,AL-HAKIM,The All-Wise,"Surah 2:32, Surah 2:129, Surah 2:209, Surah 2:220, Surah 2:228, Surah 2:240"
47,الْوَدُودُ,AL-WADUD,The Loving,"Surah 11:90, Surah 85:14"
48,الْمَجِيدُ,AL-MAJID,The Glorious,"Surah 11:73, Surah 85:15"
49,الْبَاعِثُ,AL-BA'ITH,The Resurrector,"Surah 22:7"
50,الشَّهِيدُ,ASH-SHAHID,The Witness,"Surah 4:33, Surah 4:79, Surah 4:166, Surah 5:117, Surah 10:46, Surah 13:43"
51,الْحَقُّ,AL-HAQQ,The Truth,"Surah 6:62, Surah 10:30, Surah 18:44, Surah 20:114, Surah 22:6, Surah 22:62, Surah 23:116, Surah 24:25"
52,الْوَكِيلُ,AL-WAKIL,The Trustee,"Surah 3:173, Surah 4:81, Surah 4:132, Surah 4:171, Surah 6:102, Surah 17:65, Surah 28:28, Surah 33:3"
53,الْقَوِيُّ,AL-QAWIYY,The Strong,"Surah 11:66, Surah 22:40, Surah 22:74, Surah 40:22, Surah 42:19, Surah 57:25, Surah 58:21"
54,الْمَتِينُ,AL-MATIN,The Firm,"Surah 51:58"
55,الْوَلِيُّ,AL-WALI,The Protecting Friend,"Surah 2:107, Surah 2:120, Surah 3:68, Surah 4:45, Surah 4:123, Surah 4:173, Surah 7:196"
56,الْحَمِيدُ,AL-HAMID,The Praiseworthy,"Surah 2:267, Surah 4:131, Surah 11:73, Surah 14:1, Surah 14:8, Surah 22:24, Surah 22:64"
57,الْمُحْصِي,AL-MUHSI,The Accounter,"Surah 19:94, Surah 36:12, Surah 72:28, Surah 78:29"
58,الْمُبْدِئُ,AL-MUBDI,The Originator,"Surah 10:4, Surah 10:34, Surah 27:64, Surah 29:19, Surah 30:11, Surah 30:27, Surah 85:13"
59,الْمُعِيدُ,AL-MU'ID,The Restorer,"Surah 10:4, Surah 10:34, Surah 27:64, Surah 29:19, Surah 30:11, Surah 30:27, Surah 85:13"
60,الْمُحْيِي,AL-MUHYI,The Giver of Life,"Surah 7:158, Surah 15:23, Surah 30:50, Surah 41:39, Surah 57:2"
61,اَلْمُمِيتُ,AL-MUMIT,The Bringer of Death,"Surah 7:158, Surah 15:23, Surah 57:2"
62,الْحَيُّ,AL-HAYY,The Ever-Living,"Surah 2:255, Surah 3:2, Surah 20:111, Surah 25:58, Surah 40:65"
63,الْقَيُّومُ,AL-QAYYUM,The Self-Subsisting,"Surah 2:255, Surah 3:2, Surah 20:111"
64,الْوَاجِدُ,AL-WAJID,The Finder,
65,الْمَاجِدُ,AL-MAAJID,The Noble,
66,الْواحِدُ,AL-WAHID,The One,"Surah 2:163, Surah 5:73, Surah 9:31, Surah 12:39, Surah 13:16, Surah 14:48, Surah 16:22"
67,اَلاَحَدُ,AL-AHAD,The Unique,"Surah 112:1"
68,الصَّمَدُ,AS-SAMAD,The Eternal,"Surah 112:2"
69,الْقَادِرُ,AL-QADIR,The Capable,"Surah 6:65, Surah 36:81, Surah 46:33, Surah 75:40, Surah 86:8"
70,الْمُقْتَدِرُ,AL-MUQTADIR,The Powerful,"Surah 18:45, Surah 54:42, Surah 54:55"
71,الْمُقَدِّمُ,AL-MUQADDIM,The Expediter,
72,الْمُؤَخِّرُ,AL-MU'AKHKHIR,The Delayer,
73,الأوَّلُ,AL-AWWAL,The First,"Surah 57:3"
74,الآخِرُ,AL-AAKHIR,The Last,"Surah 57:3"
75,الظَّاهِرُ,AZ-ZAHIR,The Manifest,"Surah 57:3"
76,الْبَاطِنُ,AL-BATIN,The Hidden,"Surah 57:3"
77,الْوَالِي,AL-WALI,The Governor,"Surah 13:11"
78,الْمُتَعَالِي,AL-MUTA'ALI,The Most Exalted,"Surah 13:9"
79,الْبَرُّ,AL-BARR,The Source of Goodness,"Surah 52:28"
80,التَّوَابُ,AT-TAWWAB,The Acceptor of Repentance,"Surah 2:37, Surah 2:54, Surah 2:128, Surah 2:160, Surah 4:64, Surah 9:104, Surah 9:118"
81,الْمُنْتَقِمُ,AL-MUNTAQIM,The Avenger,"Surah 3:4, Surah 5:95, Surah 14:47, Surah 32:22, Surah 43:41, Surah 44:16"
82,العَفُوُّ,AL-AFUWW,The Pardoner,"Surah 4:43, Surah 4:99, Surah 4:149, Surah 22:60, Surah 58:2"
83,الرَّؤُوفُ,AR-RA'UF,The Most Kind,"Surah 2:143, Surah 3:30, Surah 9:117, Surah 16:7, Surah 16:47, Surah 22:65, Surah 24:20"
84,مَالِكُ الْمُلْكِ,MALIK-UL-MULK,Master of the Kingdom,"Surah 3:26"
85,ذُوالْجَلاَلِ وَالإكْرَامِ,DHUL-JALAL WAL-IKRAM,Possessor of Glory and Honor,"Surah 55:27, Surah 55:78"
86,الْمُقْسِطُ,AL-MUQSIT,The Equitable,"Surah 7:29"
87,الْجَامِعُ,AL-JAMI,The Gatherer,"Surah 3:9, Surah 4:140"
88,الْغَنِيُّ,AL-GHANI,The Self-Sufficient,"Surah 2:263, Surah 2:267, Surah 3:97, Surah 4:6, Surah 4:131, Surah 6:133"
89,الْمُغْنِي,AL-MUGHNI,The Enricher,"Surah 9:28, Surah 53:48, Surah 93:8"
90,اَلْمَانِعُ,AL-MANI',The Preventer,
91,الضَّارَُ,AD-DHARR,The Distresser,
92,النَّافِعُ,AN-NAFI',The Benefactor,
93,النُّورُ,AN-NUR,The Light,"Surah 24:35"
94,الْهَادِي,AL-HADI,The Guide,"Surah 22:54, Surah 25:31"
95,الْبَدِيعُ,AL-BADI,The Incomparable,"Surah 2:117, Surah 6:101"
96,الْبَاقِي,AL-BAQI,The Everlasting,"Surah 55:27"
97,الْوَارِثُ,AL-WARITH,The Inheritor,"Surah 15:23, Surah 19:40"
98,الرَّشِيدُ,AR-RASHID,The Guide to the Right Path,"Surah 11:87"
99,الصَّبُورُ,AS-SABUR,The Patient,
